Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
187,The First Slam Dunk,-,-,-,"$94,336",161,"$119,604",Jul 7,Selecta Visión,false
188,The Tasting,-,-,-,"$89,256",49,"$91,960",Jul 28,A Contracorriente Films,false
189,My Father's Mexican Wedding,-,-,-,"$88,673",110,"$90,041",Feb 17,A Contracorriente Films,false
190,All Your Faces,-,-,-,"$86,899",44,"$86,925",Sep 8,-,false
191,Broker,-,-,-,"$86,546",64,"$213,098",Dec 23,Avalon,false
192,Emily,-,-,-,"$82,961",103,"$82,961",Jan 13,Vértigo Films,false
193,Diary of a Fleeting Affair,-,-,-,"$81,791",34,"$82,292",Mar 24,-,false
194,The Menu,-,-,-,"$80,227",312,"$1,563,039",Dec 2,Walt Disney Studios Motion Pictures,false
195,Passages,-,-,-,"$80,113",45,"$80,732",Sep 1,-,false
196,The Unlikely Pilgrimage of Harold Fry,-,-,-,"$78,604",60,"$79,419",Aug 25,A Contracorriente Films,false
197,One Fine Morning,-,-,-,"$77,829",62,"$80,588",Mar 31,Elastica,false
198,Loli Tormenta,-,-,-,"$76,421",104,"$76,761",Mar 31,-,false
199,The Hummingbird,-,-,-,"$74,996",55,"$76,962",May 26,Karma Films,false
200,School of Magical Animals: Part 2,-,-,-,"$74,399",132,"$74,598",Aug 4,-,false
